name,code,link,source,color_hex,color_r,color_g,color_b
Big Apple,04D-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04D-5|,clarkkensington,#cb444c,203,68,76
Baby's Breath,05A-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05A-1|,clarkkensington,#ecdcdc,236,220,220
Country Charm,05A-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05A-2|,clarkkensington,#e6caca,230,202,202
Edgy Statement,05A-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05A-3|,clarkkensington,#cda5a8,205,165,168
Sleek Sophisticate,05A-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05A-4|,clarkkensington,#a87676,168,118,118
Chipotle Pepper,05A-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05A-5|,clarkkensington,#7d4d48,125,77,72
Bella Mia,05B-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05B-1|,clarkkensington,#f5e3e6,245,227,230
Baby Shower,05B-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05B-2|,clarkkensington,#f1d1d8,241,209,216
Piece of Cake,05B-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05B-3|,clarkkensington,#ecc3c9,236,195,201
Once in a Lifetime,05B-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05B-4|,clarkkensington,#ce989f,206,152,159
Posh Playhouse,05B-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05B-5|,clarkkensington,#bc727c,188,114,124
Tippy-Toe Tulle,05C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-1|,clarkkensington,#f4e5eb,244,229,235
Young Dreams,05C-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-2|,clarkkensington,#f4dee7,244,222,231
Love Knots,05C-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-3|,clarkkensington,#e4b1b9,228,177,185
Live It Up,05C-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-4|,clarkkensington,#cb7e8b,203,126,139
Chinese Lantern,05C-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-5|,clarkkensington,#ac5863,172,88,99
Alizarin Crimson,05C-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-6|,clarkkensington,#a34a57,163,74,87
Ruby Slippers,05C-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05C-7|,clarkkensington,#953845,149,56,69
Silk Taffeta,05D-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05D-1|,clarkkensington,#f6e5e7,246,229,231
Pink Taffy,05D-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05D-2|,clarkkensington,#f4cbd2,244,203,210
Stargazer Lily,05D-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05D-3|,clarkkensington,#f0afb9,240,175,185
Sandia Fresca,05D-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05D-4|,clarkkensington,#cf5f69,207,95,105
Red Dragon,05D-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:05D-5|,clarkkensington,#b2373e,178,55,62
Pure Zen,06A-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06A-2|,clarkkensington,#e0c5c0,224,197,192
Miss You,06A-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06A-3|,clarkkensington,#c5a09c,197,160,156
