name,code,link,source,color_hex,color_r,color_g,color_b
Greener Grass,V024-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/greener-grass-v024-3,valspar,#017029,1,112,41
Mint Frost,6001-3B,https://www.valspar.com/en/colors/browse-colors/lowes/green/mint-frost-6001-3b,valspar,#c9c8b1,201,200,177
Green Mamba,V020-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/green-mamba-v020-2,valspar,#cdca54,205,202,84
Oakmoss,6005-3C,https://www.valspar.com/en/colors/browse-colors/lowes/green/oakmoss-6005-3c,valspar,#b9b18d,185,177,141
Cool Cucumber,V059-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/cool-cucumber-v059-2,valspar,#d8ddb8,216,221,184
Green Trellis,5006-3C,https://www.valspar.com/en/colors/browse-colors/lowes/green/green-trellis-5006-3c,valspar,#a7b49f,167,180,159
Silver Eucalyptus,V098-4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/silver-eucalyptus-v098-4,valspar,#869384,134,147,132
Vegas Green,6009-7,https://www.valspar.com/en/colors/browse-colors/lowes/green/vegas-green-6009-7,valspar,#316736,49,103,54
Green Willow,V096-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/green-willow-v096-3,valspar,#b7ae89,183,174,137
Salon Green,8003-33C,https://www.valspar.com/en/colors/browse-colors/lowes/green/salon-green-8003-33c,valspar,#a7bca6,167,188,166
Cool Juniper,V063-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/teal/cool-juniper-v063-2,valspar,#9dccbb,157,204,187
Sweet Clover,8003-30C,https://www.valspar.com/en/colors/browse-colors/lowes/green/sweet-clover-8003-30c,valspar,#bbbca4,187,188,164
Whiff of Green,V060-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/whiff-of-green-v060-1,valspar,#e0ebd3,224,235,211
Ancient Olive,6001-3A,https://www.valspar.com/en/colors/browse-colors/lowes/green/ancient-olive-6001-3a,valspar,#dedcc9,222,220,201
Hinterlands,V061-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/hinterlands-v061-5,valspar,#788e60,120,142,96
Leaf Bud,6005-5B,https://www.valspar.com/en/colors/browse-colors/lowes/green/leaf-bud-6005-5b,valspar,#dad5a4,218,213,164
Stormy Day,V097-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/stormy-day-v097-3,valspar,#a6ae9b,166,174,155
Frosted Sage,8002-33C,https://www.valspar.com/en/colors/browse-colors/lowes/green/frosted-sage-8002-33c,valspar,#b3d3b7,179,211,183
Swallowtail,V017-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/swallowtail-v017-1,valspar,#ffeaaa,255,234,170
Homey Cream,3007-6B,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/homey-cream-3007-6b,valspar,#f4dfb8,244,223,184
Nectar of the Goddess,V018-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/nectar-of-the-goddess-v018-3,valspar,#cf9501,207,149,1
Sunspark,3010-2,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/sunspark-3010-2,valspar,#ffb801,255,184,1
Bee's Knees,V016-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/bees-knees-v016-2,valspar,#ffdd75,255,221,117
Champagne Tickle,3001-2C,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/champagne-tickle-3001-2c,valspar,#fdeecf,253,238,207
Glowing Reviews,V015-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/glowing-reviews-v015-2,valspar,#ffd174,255,209,116
Sweet Lemon,3006-3B,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/sweet-lemon-3006-3b,valspar,#f8c452,248,196,82
Sense of Wonder,V053-4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/sense-of-wonder-v053-4,valspar,#ebb047,235,176,71
Island Sun,3007-3C,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/island-sun-3007-3c,valspar,#f4d77f,244,215,127
Straw Hat,V055-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/straw-hat-v055-3,valspar,#debb74,222,187,116
Canary Diamond,3008-6B,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/canary-diamond-3008-6b,valspar,#efd59c,239,213,156
New England Autumn,V054-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/new-england-autumn-v054-5,valspar,#cd961f,205,150,31
Sunglow,3003-2B,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/sunglow-3003-2b,valspar,#ffe298,255,226,152
Eggnog,V053-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/eggnog-v053-2,valspar,#f6d299,246,210,153
Baked Scone,3007-8B,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/baked-scone-3007-8b,valspar,#dfc69c,223,198,156
Popcorn,V015-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/popcorn-v015-1,valspar,#ffe8bf,255,232,191
Home Brew,8002-24C,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/home-brew-8002-24c,valspar,#e5cb8d,229,203,141
Dainty Daisy,V018-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/dainty-daisy-v018-1,valspar,#f6e3a6,246,227,166
Homeward Bound,8002-18C,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/homeward-bound-8002-18c,valspar,#e9c091,233,192,145
Sugar Leaves,V019-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/sugar-leaves-v019-3,valspar,#c9a935,201,169,53
Orange Glow,3001-1A,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/orange-glow-3001-1a,valspar,#ffa501,255,165,1
Float Like a Butterfly,V054-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/float-like-a-butterfly-v054-2,valspar,#fde399,253,227,153
Pirate's Treasure,3006-5B,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/pirates-treasure-3006-5b,valspar,#e5a956,229,169,86
Silk Teddy,V010-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/orange/silk-teddy-v010-1,valspar,#f2e3d1,242,227,209
Orange Mousse,2007-4A,https://www.valspar.com/en/colors/browse-colors/lowes/orange/orange-mousse-2007-4a,valspar,#ffc999,255,201,153
