name,code,link,source,color_hex,color_r,color_g,color_b
Pomegranate,AF-295,https://www.benjaminmoore.com/en-us/paint-colors/color/af-295/pomegranate,benjaminmoore,#8b383e,139,56,62
Sundried Tomato,CC-62,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-62/sundried-tomato,benjaminmoore,#783934,120,57,52
Wispy Pink,2005-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-70/wispy-pink,benjaminmoore,#f7e4e4,247,228,228
Pink Pearl,2005-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-60/pink-pearl,benjaminmoore,#f0cdd1,240,205,209
Pink Ribbon,1340,https://www.benjaminmoore.com/en-us/paint-colors/color/1340/pink-ribbon,benjaminmoore,#e59aa8,229,154,168
Secret Rendezvous,1341,https://www.benjaminmoore.com/en-us/paint-colors/color/1341/secret-rendezvous,benjaminmoore,#d5788b,213,120,139
Mardi Gras,1342,https://www.benjaminmoore.com/en-us/paint-colors/color/1342/mardi-gras,benjaminmoore,#b9596a,185,89,106
Mediterranean Spice,1337,https://www.benjaminmoore.com/en-us/paint-colors/color/1337/mediterranean-spice,benjaminmoore,#b04253,176,66,83
Cherry Burst,CSP-1200,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1200/cherry-burst,benjaminmoore,#9f233d,159,35,61
Romantic Pink,2004-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2004-70/romantic-pink,benjaminmoore,#fce3e7,252,227,231
Misted Rose,1339,https://www.benjaminmoore.com/en-us/paint-colors/color/1339/misted-rose,benjaminmoore,#f0b4c1,240,180,193
Radiant Rose,1327,https://www.benjaminmoore.com/en-us/paint-colors/color/1327/radiant-rose,benjaminmoore,#eb8496,235,132,150
Deco Rose,1328,https://www.benjaminmoore.com/en-us/paint-colors/color/1328/deco-rose,benjaminmoore,#dd6779,221,103,121
My Valentine,1330,https://www.benjaminmoore.com/en-us/paint-colors/color/1330/my-valentine,benjaminmoore,#a5414d,165,65,77
